Target_pos_z	0.3
Target_color	red
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
3.402702	4.291534E-06	0	0	0	0	0	chrono	False
3.431102	0.02840233	0	0	0	0	0	chrono	False
3.432484	0.02978349	0	0	0	0	0	chrono	False
3.439486	0.0367856	0	0	0	0	0	chrono	False
3.447618	0.04491782	0	0	0	0	0	chrono	False
3.448202	0.04550195	0	0	0	0	0	chrono	False
3.461847	0.05914712	0	0	0	0	0	chrono	False
3.462805	0.06010413	0	0	0	0	0	chrono	False
3.473335	0.07063484	0	0	0	0	0	chrono	False
3.481436	0.07873535	0	0	0	0	0	chrono	False
3.48678	0.08408022	0	0	0	0	0	chrono	False
3.49368	0.09097981	0	0	0	0	0	chrono	False
3.507697	0.1049962	0	0	0	0	0	chrono	False
3.521501	0.1188004	0	0	0	0	0	chrono	False
3.535263	0.1325624	0	0	0	0	0	chrono	False
3.549339	0.1466389	0	0	0	0	0	chrono	False
3.563359	0.1606586	0	0	0	0	0	chrono	False
3.570214	0.1675134	0	0	0	0	0	chrono	False
3.581777	0.1790767	0	0	0	0	0	chrono	False
3.584003	0.1813023	0	0	0	0	0	chrono	False
3.591134	0.1884334	0	0	0	0	0	chrono	False
3.598174	0.1954737	0	0	0	0	0	chrono	False
3.608448	0.2057486	0	0	0	0	0	chrono	False
3.615235	0.2125347	0	0	0	0	0	chrono	False
3.619059	0.2163587	0	0	0	0	0	chrono	False
3.632085	0.2293847	0	0	0	0	0	chrono	False
3.633784	0.2310832	0	0	0	0	0	chrono	False
3.641989	0.2392888	0	0	0	0	0	chrono	False
3.646565	0.2438653	0	0	0	0	0	chrono	False
3.654688	0.2519882	0	0	0	0	0	chrono	False
3.661111	0.2584107	0	0	0	0	0	chrono	False
3.667499	0.2647986	0	0	0	0	0	chrono	False
3.679691	0.2769904	0	0	0	0	0	chrono	False
3.681366	0.2786655	0	0	0	0	0	chrono	False
3.688292	0.2855921	0	0	0	0	0	chrono	False
3.695134	0.2924337	0	0	0	0	0	chrono	False
3.702678	0.2999783	0	0	0	0	0	chrono	False
3.711106	0.3084056	0	0	0	0	0	chrono	False
3.716063	0.3133624	0	0	0	0	0	chrono	False
3.726308	0.3236079	0	0	0	0	0	chrono	False
3.732114	0.3294134	0	0	0	0	0	chrono	False
3.736835	0.3341351	0	0	0	0	0	chrono	False
3.744003	0.3413029	0	0	0	0	0	chrono	False
3.752979	0.3502784	0	0	0	0	0	chrono	False
3.757792	0.3550911	0	0	0	0	0	chrono	False
3.766421	0.3637211	0	0	0	0	0	chrono	False
3.773727	0.3710272	0	0	0	0	0	chrono	False
3.778547	0.3758469	0	0	0	0	0	chrono	False
3.788609	0.3859088	0	0	0	0	0	chrono	False
3.793912	0.3912117	0	0	0	0	0	chrono	False
3.799397	0.3966961	0	0	0	0	0	chrono	False
3.810176	0.4074759	0	0	0	0	0	chrono	False
3.813083	0.410383	0	0	0	0	0	chrono	False
3.820021	0.4173205	0	0	0	0	0	chrono	False
3.826826	0.424125	0	0	0	0	0	chrono	False
3.833768	0.4310679	0	0	0	0	0	chrono	False
3.840861	0.4381604	0	0	0	0	0	chrono	False
3.847617	0.444917	0	0	0	0	0	chrono	False
3.854576	0.4518752	0	0	0	0	0	chrono	False
3.861636	0.4589355	0	0	0	0	0	chrono	False
3.868536	0.4658358	0	0	0	0	0	chrono	False
3.875654	0.4729531	0	0	0	0	0	chrono	False
3.882811	0.4801099	0	0	0	0	0	chrono	False
3.889783	0.4870825	0	0	0	0	0	chrono	False
3.896857	0.4941568	0	0	0	0	0	chrono	False
3.903662	0.5009618	0	0	0	0	0	chrono	False
3.910464	0.5077641	0	0	0	0	0	chrono	False
3.917727	0.5150266	0	0	0	0	0	chrono	False
3.924464	0.5217633	0	0	0	0	0	chrono	False
3.931597	0.5288961	0	0	0	0	0	chrono	False
3.938479	0.5357792	0	0	0	0	0	chrono	False
3.945209	0.5425086	0	0	0	0	0	chrono	False
3.952162	0.5494614	0	0	0	0	0	chrono	False
3.960921	0.5582206	0	0	0	0	0	chrono	False
3.966231	0.5635307	0	0	0	0	0	chrono	False
3.972878	0.5701778	0	0	0	0	0	chrono	False
3.979842	0.5771415	0	0	0	0	0	chrono	False
3.986716	0.5840156	0	0	0	0	0	chrono	False
3.993642	0.5909414	0	0	0	0	0	chrono	False
4.000653	0.5979526	0	0	0	0	0	chrono	False
4.007471	0.6047709	0	0	0	0	0	chrono	False
4.014466	0.6117661	0	0	0	0	0	chrono	False
4.021618	0.6189177	0	0	0	0	0	chrono	False
4.028343	0.625643	0	0	0	0	0	chrono	False
4.035444	0.6327436	0	0	0	0	0	chrono	False
4.042755	0.6400549	0	0	0	0	0	chrono	False
4.049315	0.6466143	0	0	0	0	0	chrono	False
4.056189	0.6534884	0	0	0	0	0	chrono	False
4.063428	0.6607273	0	0	0	0	0	chrono	False
4.07024	0.6675394	0	0	0	0	0	chrono	False
4.07704	0.6743395	0	0	0	0	0	chrono	False
4.084072	0.681371	0	0	0	0	0	chrono	False
4.090976	0.6882756	0	0	0	0	0	chrono	False
4.097819	0.6951191	0	0	0	0	0	chrono	False
4.104795	0.7020948	0	0	0	0	0	chrono	False
4.111694	0.7089942	0	0	0	0	0	chrono	False
4.118884	0.7161829	0	0	0	0	0	chrono	False
4.125525	0.7228253	0	0	0	0	0	chrono	False
4.132531	0.7298305	0	0	0	0	0	chrono	False
4.139956	0.7372563	0	0	0	0	0	chrono	False
4.14652	0.7438195	0	0	0	0	0	chrono	False
4.153433	0.7507331	0	0	0	0	0	chrono	False
4.160414	0.7577136	0	0	0	0	0	chrono	False
4.167105	0.764405	0	0	0	0	0	chrono	False
4.174468	0.7717674	0	0	0	0	0	chrono	False
4.181187	0.778486	0	0	0	0	0	chrono	False
4.188119	0.7854183	0	0	0	0	0	chrono	False
4.194991	0.79229	0	0	0	0	0	chrono	False
4.202056	0.7993557	0	0	0	0	0	chrono	False
4.208778	0.8060782	0	0	0	0	0	chrono	False
4.215756	0.8130558	0	0	0	0	0	chrono	False
4.222874	0.8201735	0	0	0	0	0	chrono	False
4.22963	0.8269298	0	0	0	0	0	chrono	False
4.236687	0.8339865	0	0	0	0	0	chrono	False
4.243819	0.8411186	0	0	0	0	0	chrono	False
4.250615	0.8479145	0	0	0	0	0	chrono	False
4.257814	0.8551137	0	0	0	0	0	chrono	False
4.264494	0.8617938	0	0	0	0	0	chrono	False
4.271428	0.8687274	0	0	0	0	0	chrono	False
4.278472	0.8757713	0	0	0	0	0	chrono	False
4.285227	0.8825266	0	0	0	0	0	chrono	False
4.292215	0.8895147	0	0	0	0	0	chrono	False
4.299265	0.8965652	0	0	0	0	0	chrono	False
4.306083	0.903383	0	0	0	0	0	chrono	False
4.313072	0.9103715	0	0	0	0	0	chrono	False
4.320107	0.9174073	0	0	0	0	0	chrono	False
4.326964	0.9242642	0	0	0	0	0	chrono	False
4.333855	0.9311545	0	0	0	0	0	chrono	False
4.341062	0.9383614	0	0	0	0	0	chrono	False
4.34763	0.9449294	0	0	0	0	0	chrono	False
4.354742	0.9520409	0	0	0	0	0	chrono	False
4.361768	0.9590681	0	0	0	0	0	chrono	False
4.368563	0.9658625	0	0	0	0	0	chrono	False
4.375578	0.9728777	0	0	0	0	0	chrono	False
4.382593	0.979893	0	0	0	0	0	chrono	False
4.389436	0.9867361	0	0	0	0	0	chrono	False
4.396394	0.9936931	0	0	0	0	0	chrono	False
4.403433	1.000733	0	0	0	0	0	chrono	False
4.410207	1.007507	0	0	0	0	0	chrono	False
4.417134	1.014434	0	0	0	0	0	chrono	False
4.42428	1.02158	0	0	0	0	0	chrono	False
4.431085	1.028384	0	0	0	0	0	chrono	False
4.438241	1.035541	0	0	0	0	0	chrono	False
4.444966	1.042266	0	0	0	0	0	chrono	False
4.451962	1.049262	0	0	0	0	0	chrono	False
4.459195	1.056494	0	0	0	0	0	chrono	False
4.465776	1.063076	0	0	0	0	0	chrono	False
4.472769	1.070068	0	0	0	0	0	chrono	False
4.479769	1.077069	0	0	0	0	0	chrono	False
4.48665	1.083949	0	0	0	0	0	chrono	False
4.493557	1.090857	0	0	0	0	0	chrono	False
4.500753	1.098052	0	0	0	0	0	chrono	False
4.507497	1.104797	0	0	0	0	0	chrono	False
4.514737	1.112037	0	0	0	0	0	chrono	False
4.521776	1.119076	0	0	0	0	0	chrono	False
4.528385	1.125684	0	0	0	0	0	chrono	False
4.535318	1.132618	0	0	0	0	0	chrono	False
4.542801	1.140101	0	0	0	0	0	chrono	False
4.549332	1.146632	0	0	0	0	0	chrono	False
4.556253	1.153553	0	0	0	0	0	chrono	False
4.563176	1.160475	0	0	0	0	0	chrono	False
4.57003	1.16733	0	0	0	0	0	chrono	False
4.576955	1.174255	0	0	0	0	0	chrono	False
4.58402	1.181319	0	0	0	0	0	chrono	False
4.590932	1.188233	0	0	0	0	0	chrono	False
4.597877	1.195176	0	0	0	0	0	chrono	False
4.605076	1.202376	0	0	0	0	0	chrono	False
4.611727	1.209027	0	0	0	0	0	chrono	False
4.618802	1.216101	0	0	0	0	0	chrono	False
4.6256	1.2229	0	0	0	0	0	chrono	False
4.632609	1.229909	0	0	0	0	0	chrono	False
4.639576	1.236876	0	0	0	0	0	chrono	False
4.646407	1.243707	0	0	0	0	0	chrono	False
4.65343	1.25073	0	0	0	0	0	chrono	False
4.660314	1.257613	0	0	0	0	0	chrono	False
4.667177	1.264476	0	0	0	0	0	chrono	False
4.674284	1.271584	0	0	0	0	0	chrono	False
4.68137	1.27867	0	0	0	0	0	chrono	False
4.687969	1.285268	0	0	0	0	0	chrono	False
4.695029	1.292329	0	0	0	0	0	chrono	False
4.702151	1.299451	0	0	0	0	0	chrono	False
4.709026	1.306326	0	0	0	0	0	chrono	False
4.715871	1.313171	0	0	0	0	0	chrono	False
4.722872	1.320172	0	0	0	0	0	chrono	False
4.729709	1.327008	0	0	0	0	0	chrono	False
4.736619	1.333918	0	0	0	0	0	chrono	False
4.743901	1.341201	0	0	0	0	0	chrono	False
4.750513	1.347812	0	0	0	0	0	chrono	False
4.757662	1.354962	0	0	0	0	0	chrono	False
4.76448	1.36178	0	0	0	0	0	chrono	False
4.771409	1.368709	0	0	0	0	0	chrono	False
4.778595	1.375895	0	0	0	0	0	chrono	False
4.785298	1.382597	0	0	0	0	0	chrono	False
4.792459	1.389758	0	0	0	0	0	chrono	False
4.799272	1.396571	0	0	0	0	0	chrono	False
4.806245	1.403545	0	0	0	0	0	chrono	False
4.813099	1.410399	0	0	0	0	0	chrono	False
4.820142	1.417442	0	0	0	0	0	chrono	False
4.826991	1.42429	0	0	0	0	0	chrono	False
4.833857	1.431156	0	0	0	0	0	chrono	False
4.840984	1.438283	0	0	0	0	0	chrono	False
4.847807	1.445107	0	0	0	0	0	chrono	False
4.85464	1.45194	0	0	0	0	0	chrono	False
4.861742	1.459041	0	0	0	0	0	chrono	False
4.868556	1.465856	0	0	0	0	0	chrono	False
4.875766	1.473066	0	0	0	0	0	chrono	False
4.882755	1.480055	0	0	0	0	0	chrono	False
4.889405	1.486705	0	0	0	0	0	chrono	False
4.896392	1.493692	0	0	0	0	0	chrono	False
4.903423	1.500723	0	0	0	0	0	chrono	False
4.91012	1.50742	0	0	0	0	0	chrono	False
4.917271	1.51457	0	0	0	0	0	chrono	False
4.924174	1.521474	0	0	0	0	0	chrono	False
4.931121	1.52842	0	0	0	0	0	chrono	False
4.938196	1.535496	0	0	0	0	0	chrono	False
4.945018	1.542318	0	0	0	0	0	chrono	False
