Target_pos_z	0.25
Target_color	green
SessionTime	TrialTime	Cursor_posx	Cursor_posy	Cursor_posz	MouseX	MouseY	Phase	TargetAchieved
8.953891	9.536743E-07	0	0	0	0.55	0.6	chrono	False
8.961247	0.007356644	0	0	0	0.6	0.7	chrono	False
8.968571	0.01467991	0	0	0	0.6	0.65	chrono	False
8.97697	0.02308083	0	0	0	0.65	0.65	chrono	False
8.984641	0.03075027	0	0	0	0.7	0.65	chrono	False
8.992134	0.03824425	0	0	0	0.65	0.65	chrono	False
8.998578	0.04468727	0	0	0	0	0	chrono	False
9.004864	0.05097294	0	0	0	0	0	chrono	False
9.012296	0.05840588	0	0	0	0.75	0.5	chrono	False
9.019933	0.06604195	0	0	0	0.8	0.5	chrono	False
9.027247	0.07335663	0	0	0	0.85	0.45	chrono	False
9.035789	0.08189869	0	0	0	0.85	0.35	chrono	False
9.043813	0.08992195	0	0	0	0.85	0.35	chrono	False
9.05123	0.09733963	0	0	0	0.85	0.35	chrono	False
9.059269	0.1053782	0	0	0	0.9	0.3	chrono	False
9.066886	0.1129951	0	0	0	0.9	0.3	chrono	False
9.074508	0.1206169	0	0	0	0.85	0.25	chrono	False
9.082099	0.1282082	0	0	0	0.8	0.25	chrono	False
9.090993	0.1371021	0	0	0	0.9	0.25	chrono	False
9.100121	0.1462317	0	0	0	0.85	0.2	chrono	False
9.109914	0.156023	0	0	0	1.65	0.35	chrono	False
9.116724	0.1628332	0	0	0	0	0	chrono	False
9.123932	0.170042	0	0	0	0.75	0.2	chrono	False
9.134191	0.1802998	0	0	0	1.2	0.3	chrono	False
9.141614	0.1877232	0	0	0	0.55	0.15	chrono	False
9.147682	0.1937914	0	0	0	0	0	chrono	False
9.153702	0.1998119	0	0	0	0.5	0.15	chrono	False
9.16119	0.2072992	0	0	0	0.3	0.15	chrono	False
9.167024	0.2131338	0	0	0	0.25	0.05	chrono	False
9.172761	0.2188711	0	0	0	0	0	chrono	False
9.178423	0.2245321	0	0	0	0.15	0.05	chrono	False
9.184117	0.2302265	0	0	0	0.1	0.05	chrono	False
9.191344	0.2374535	0	0	0	0	0	chrono	False
9.197126	0.2432356	0	0	0	0	0	chrono	False
9.202659	0.2487679	0	0	0	0	0	chrono	False
9.208172	0.254282	0	0	0	0	0	chrono	False
9.214142	0.260252	0	0	0	0	0	chrono	False
9.219762	0.265872	0	0	0	0	0	chrono	False
9.225061	0.2711716	0	0	0	0	0	chrono	False
9.230491	0.2766008	0	0	0	0	0	chrono	False
9.236638	0.2827473	0	0	0	0	0	chrono	False
9.242359	0.2884684	0	0	0	0	0	chrono	False
9.247722	0.2938318	0	0	0	0	0	chrono	False
9.253267	0.2993765	0	0	0	0	0	chrono	False
9.258826	0.3049355	0	0	0	0	0	chrono	False
9.264546	0.3106556	0	0	0	0	0	chrono	False
9.270215	0.3163242	0	0	0	0	0	chrono	False
9.276282	0.3223915	0	0	0	0	0	chrono	False
9.281729	0.3278389	0	0	0	0	0	chrono	False
9.28733	0.3334398	0	0	0	0	0	chrono	False
9.293056	0.3391657	0	0	0	0	0	chrono	False
9.298757	0.3448668	0	0	0	0	0	chrono	False
9.304283	0.3503933	0	0	0	0	0	chrono	False
9.309546	0.3556557	0	0	0	0	0	chrono	False
9.315296	0.3614054	0	0	0	0	0	chrono	False
9.320823	0.3669329	0	0	0	0	0	chrono	False
9.326451	0.3725615	0	0	0	0	0	chrono	False
9.332063	0.3781719	0	0	0	0	0	chrono	False
9.337704	0.3838139	0	0	0	0	0	chrono	False
9.343161	0.3892698	0	0	0	0	0	chrono	False
9.34841	0.3945189	0	0	0	0	0	chrono	False
9.354043	0.4001522	0	0	0	0	0	chrono	False
9.359244	0.4053545	0	0	0	0	0	chrono	False
9.364243	0.4103518	0	0	0	0	0	chrono	False
9.369494	0.4156036	0	0	0	0	0	chrono	False
9.374971	0.4210815	0	0	0	0	0	chrono	False
9.380139	0.4262486	0	0	0	0	0	chrono	False
9.385109	0.4312191	0	0	0	0	0	chrono	False
9.390327	0.4364367	0	0	0	0	0	chrono	False
9.39596	0.4420691	0	0	0	0	0	chrono	False
9.401668	0.4477768	0	0	0	-0.1	-0.15	chrono	False
9.40726	0.4533701	0	0	0	-0.15	-0.3	chrono	False
9.412592	0.4587011	0	0	0	0	0	chrono	False
9.418055	0.4641647	0	0	0	-0.15	-0.25	chrono	False
9.425509	0.4716187	0	0	0	-0.2	-0.3	chrono	False
9.431179	0.4772892	0	0	0	-0.3	-0.35	chrono	False
9.439271	0.4853811	0	0	0	-0.3	-0.4	chrono	False
9.445129	0.4912386	0	0	0	-0.45	-0.45	chrono	False
9.452728	0.4988375	0	0	0	0	0	chrono	False
9.458453	0.5045624	0	0	0	-0.5	-0.5	chrono	False
9.466219	0.5123291	0	0	0	-0.5	-0.55	chrono	False
9.472113	0.5182228	0	0	0	-0.55	-0.6	chrono	False
9.479765	0.5258741	0	0	0	-0.65	-0.6	chrono	False
9.487686	0.5337963	0	0	0	-0.6	-0.55	chrono	False
9.495899	0.5420084	0	0	0	-0.65	-0.6	chrono	False
9.501709	0.5478182	0	0	0	-0.6	-0.55	chrono	False
9.507117	0.5532265	0	0	0	0	0	chrono	False
9.512918	0.5590277	0	0	0	-0.65	-0.5	chrono	False
9.518564	0.5646734	0	0	0	-0.6	-0.55	chrono	False
9.527511	0.5736198	0	0	0	-0.6	-0.5	chrono	False
9.534366	0.5804749	0	0	0	-0.6	-0.45	chrono	False
9.539823	0.5859318	0	0	0	0	0	chrono	False
